diagnosis,type,Normal,CIN1,CIN2+,Treatment
Normal,HPV16,289 (83.2),18 (5.1),37 (10.6),3 (0.8)
Normal,HPV18,123 (82.0),16 (10.6),8 (5.3),3 (2.0)
Normal,HPV52,322 (75.4),62 (14.5),43 (10.0),0 (0.0)
Normal,HPV58,284 (79.3),38 (10.6),34 (9.4),2 (0.5)
Normal,HPVOtherHR,687 (85.7),79 (9.8),30 (3.7),5 (0.6)
Normal,HPVnoHR,1381 (89.7),116 (7.5),37 (2.4),4 (0.2)
CIN1,HPV16,34 (25.9),40 (30.5),55 (41.9),2 (1.5)
CIN1,HPV18,23 (40.3),21 (36.8),13 (22.8),0 (0.0)
CIN1,HPV52,85 (31.8),109 (40.8),70 (26.2),3 (1.1)
CIN1,HPV58,55 (30.8),73 (41.0),48 (26.9),2 (1.1)
CIN1,HPVOtherHR,141 (40.6),144 (41.4),55 (15.8),7 (2.0)
CIN1,HPVnoHR,213 (53.9),137 (34.6),44 (11.1),1 (0.2)
CIN2,HPV16,54 (7.6),58 (8.1),505 (71.2),92 (12.9)
CIN2,HPV18,14 (9.2),12 (7.9),113 (74.8),12 (7.9)
CIN2,HPV52,60 (11.7),67 (13.1),332 (65.0),51 (10.0)
CIN2,HPV58,52 (9.9),52 (9.9),375 (71.9),42 (8.0)
CIN2,HPVOtherHR,68 (13.3),68 (13.3),335 (65.8),38 (7.4)
CIN2,HPVnoHR,77 (22.3),43 (12.4),205 (59.4),20 (5.7)
