current_state,hpv_type,Normal,CIN1,CIN2,CIN3
Normal,HPV16,0.719 (0.645-0.786),0.098 (0.071-0.132),0.139 (0.102-0.182),0.042 (0.028-0.062)
Normal,HPV18,0.699 (0.595-0.790),0.161 (0.107-0.227),0.116 (0.066-0.180),0.022 (0.009-0.046)
Normal,HPV52,0.627 (0.570-0.677),0.194 (0.162-0.226),0.148 (0.118-0.178),0.030 (0.020-0.043)
Normal,HPV58,0.665 (0.598-0.728),0.170 (0.136-0.206),0.146 (0.110-0.187),0.017 (0.011-0.027)
Normal,HPVOtherHR,0.780 (0.742-0.816),0.147 (0.123-0.173),0.062 (0.048-0.079),0.009 (0.006-0.014)
Normal,HPVnoHR,0.861 (0.839-0.879),0.100 (0.086-0.116),0.033 (0.026-0.043),0.004 (0.002-0.006)
CIN1,HPV16,0.428 (0.356-0.509),0.121 (0.094-0.153),0.269 (0.217-0.322),0.180 (0.130-0.234)
CIN1,HPV18,0.552 (0.436-0.660),0.163 (0.116-0.232),0.208 (0.126-0.301),0.074 (0.035-0.144)
CIN1,HPV52,0.484 (0.432-0.534),0.202 (0.174-0.233),0.226 (0.188-0.268),0.086 (0.062-0.114)
CIN1,HPV58,0.466 (0.399-0.535),0.186 (0.155-0.222),0.284 (0.231-0.344),0.062 (0.041-0.092)
CIN1,HPVOtherHR,0.622 (0.573-0.665),0.188 (0.161-0.215),0.143 (0.114-0.172),0.046 (0.032-0.065)
CIN1,HPVnoHR,0.773 (0.739-0.800),0.127 (0.111-0.146),0.077 (0.060-0.100),0.021 (0.013-0.034)
CIN2,HPV16,0.276 (0.216-0.338),0.122 (0.094-0.155),0.307 (0.251-0.368),0.294 (0.230-0.367)
CIN2,HPV18,0.279 (0.173-0.401),0.145 (0.096-0.209),0.350 (0.220-0.479),0.224 (0.117-0.375)
CIN2,HPV52,0.313 (0.262-0.360),0.192 (0.162-0.224),0.292 (0.241-0.345),0.201 (0.151-0.263)
CIN2,HPV58,0.252 (0.199-0.305),0.179 (0.148-0.215),0.415 (0.350-0.478),0.152 (0.104-0.212)
CIN2,HPVOtherHR,0.377 (0.325-0.432),0.204 (0.174-0.231),0.254 (0.206-0.309),0.163 (0.119-0.221)
CIN2,HPVnoHR,0.555 (0.485-0.611),0.166 (0.143-0.190),0.177 (0.130-0.227),0.100 (0.066-0.153)
